TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1404849617,"North Station","127","Rockport",1404849600,0,"4","All Aboard"
1404849617,"North Station","467","South Acton",1404849600,0,"10","All Aboard"
1404849617,"North Station","327","Lowell",1404850200,0,,"On Time"
1404849617,"North Station","359","Anderson/ Woburn",1404850800,0,,"On Time"
1404849617,"North Station","177","Newburyport",1404850800,0,,"On Time"
1404849617,"North Station","213","Haverhill",1404851400,0,,"On Time"
1404849617,"North Station","329","Lowell",1404852000,0,,"On Time"
1404849617,"North Station","425","Fitchburg",1404852000,0,,"On Time"
1404849617,"North Station","67","Beverly",1404852300,0,,"On Time"
1404849617,"North Station","271","Reading",1404852540,0,,"On Time"
1404849617,"North Station","427","Fitchburg",1404852600,0,,"On Time"
1404849617,"North Station","129","Rockport",1404853200,0,,"On Time"
1404849617,"North Station","331","Lowell",1404853800,0,,"On Time"
1404849617,"North Station","181","Newburyport",1404854100,0,,"On Time"
1404849617,"North Station","215","Haverhill",1404854100,0,,"On Time"
1404849617,"North Station","429","Fitchburg",1404854400,0,,"On Time"
1404849617,"North Station","333","Lowell",1404855000,0,,"On Time"
1404849617,"North Station","131","Rockport",1404855000,0,,"On Time"
1404849617,"North Station","217","Haverhill",1404855300,0,,"On Time"
1404849617,"South Station","619","Needham Heights",1404849600,0,"1","All Aboard"
1404849617,"South Station","917","Stoughton",1404849600,0,"6","All Aboard"
1404849617,"South Station","081","Greenbush",1404849720,0,"12","Now Boarding"
1404849617,"South Station","523","Worcester / Union Station",1404849900,0,"2","Now Boarding"
1404849617,"South Station","813","Wickford Junction",1404850080,0,"5","Now Boarding"
1404849617,"South Station","043","Kingston",1404850800,0,,"On Time"
1404849617,"South Station","717","Forge Park / 495",1404850800,0,,"On Time"
1404849617,"South Station","525","Framingham",1404851100,0,,"On Time"
1404849617,"South Station","769","Readville",1404851100,60,,"On Time"
1404849617,"South Station","815","Providence",1404851700,0,,"On Time"
1404849617,"South Station","621","Needham Heights",1404852000,0,,"On Time"
1404849617,"South Station","019","Middleboro/ Lakeville",1404852000,0,,"On Time"
1404849617,"South Station","737","Norwood Central",1404852300,0,,"On Time"
1404849617,"South Station","919","Stoughton",1404852600,0,,"On Time"
1404849617,"South Station","083","Greenbush",1404852720,0,,"On Time"
1404849617,"South Station","817","Wickford Junction",1404853200,0,,"On Time"
1404849617,"South Station","045","Kingston",1404853200,0,,"On Time"
1404849617,"South Station","527","Worcester / Union Station",1404853200,0,,"On Time"
1404849617,"South Station","719","Forge Park / 495",1404853800,0,,"On Time"
